 店舗名,店舗住所,カテゴリー,電話番号,URL
うまいもんや味楽座生駒店,〒630-0257 奈良県生駒市元町1-13-1グリーンヒルいこま3F,飲食店,0743-74-5070,https://kintetsu-rs.com/brand/
直江津,〒630-0258 奈良県生駒市東新町3-3,飲食店,0743-71-8880,https://kani-interfresh.jp
料理屋  エルミタージュ,〒630-0261 奈良県生駒市西旭ケ丘12-13,飲食店,0743-75-8686,-
ルゥ・ディ・パフィ－,〒630-0264 奈良県生駒市西菜畑町1473,飲食店,0743-75-5715,-
Kinachick no Mori,〒630-0266 奈良県生駒市門前町20-9,飲食店,0743-74-5120,https://www.kinachicknomori.com
摩波楽茶屋,〒630-0266 奈良県生駒市門前町14-1,飲食店,0743-74-7111,-
ウィーンの森  近鉄生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店生駒店4F,飲食店,0743-71-6135,https://www.ufs.co.jp/
幡・ＩＮＯＵＥ生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  ２階,雑貨店,0743-61-5067,https://www.asa-ban.com/blog1
カハラデイズカフェ,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  ３階,飲食店,0743-72-2977,-
とんかついなば和幸,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  ６階,飲食店,0743-72-2981,-
自家製麺  杵屋,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  ６階,飲食店,0743-72-2982,https://www.gourmet-kineya.co.jp/
つきひ生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  ６階,飲食店,0743-72-2985,-
ミラノ亭生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  ６階,飲食店,0743-72-2984,https://www.mj-sangyo.co.jp
ハマヤ生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  １階,飲食料品店,0743-72-2947,-
くくる生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  １階,飲食料品店,0743-72-2949,-
ブロッドン生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  １階,飲食料品店,0743-72-2988,-
イチバンヤフルーツカフェ生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  ２階,飲食料品店,0743-74-5511,-
アルション近鉄生駒店,〒630-0298 奈良県生駒市谷田町1600近鉄百貨店  生駒店  ２階,飲食料品店,0743-72-2962,-
テバス西大寺店,〒630-0821 奈良県奈良市西大寺東町2-1-63サンワシティ西大寺B1F,飲食店,0743-81-7783,-
大戸屋  阪奈菅原町店,〒630-0842 奈良県奈良市菅原町４３－３大戸屋  阪奈菅原町店,飲食店,0742-52-0018,-
尾花茶屋,〒630-1241 奈良県奈良市阪原町2186,飲食店,090-3055-2350,-
布目の里 山添店,〒630-2201 奈良県山辺郡山添村桐山32,飲食店,0743-89-0640,https://www.nunomenosato.com
YAMA-ZOE／大三食堂,〒630-2201 奈良県山辺郡山添村峰寺119‐7,飲食店,0743-86-0377,https://www.yama-zoe.com
CafeRestaurant映山紅,〒630-2225 奈良県山辺郡山添村伏拝888-1,飲食料品店,0743-87-0670,http://eizankou.com
オークモントゴルフクラブ,〒630-2232 奈良県山辺郡山添村岩屋3316,その他サービス業,0743-87-0031,https://rttg-golf.jp/oakmont/club
梅古庵,〒630-2302 奈良県奈良市月ヶ瀬尾山2263,飲食店,0743-92-0560,https://baikoan.wixsite.com/baikoan
和洋ばるPon'sKitchen,〒630-8001 奈良県奈良市法華寺町237-1石原マンション102号,飲食店,0742-36-3003,http://www.pons-kitchen.com/
お好み焼  豚馬,〒630-8001 奈良県奈良市法華寺町237-9シティパレス市役所前P2-107,飲食店,0742-81-7382,-
レストラン・ラウンジ 扇滝,〒630-8001 奈良県奈良市法華寺町254-1奈良ロイヤルホテル内,飲食店,0742-34-4912,https://nara-royal.co.jp/restaurants/
中国料理  沙山華,〒630-8001 奈良県奈良市法華寺町254-1奈良ロイヤルホテル別館,飲食店,0742-34-1136,https://www.sazanka-china.jp/
日本料理  竹の家,〒630-8001 奈良県奈良市法華寺町254-1奈良ロイヤルホテル内,飲食店,0742-34-4671,https://www.nara-takenoya.jp/
マクドナルド奈良北店,〒630-8001 奈良県奈良市法華寺町73-1マクドナルド奈良北店,飲食店,0742-33-0468,-
濔風  西大寺店,〒630-8002 奈良県奈良市二条町1-1-68福井ビル103,飲食店,0742-35-5343,https://kdhr300.gorp.jp/
mr. kanso 大和西大寺店,〒630-8002 奈良県奈良市二条町一丁目1番68号福井ビル,飲食店,0742-34-5688,https://ja-jp.facebook.com/mr.kanso.yamato.saidaiji/
シャトードール西大寺店,〒630-8003 奈良県奈良市佐紀町47-1岡本ビル,飲食店,0742-33-7365,-
にぎり長次郎奈良二条大路店,〒630-8012 奈良県奈良市二条大路南1-3-18,飲食店,0742-30-2355,http://chojiro.jp/shop/shop.php?id=35
PIZZERIA ICARO,〒630-8012 奈良県奈良市二条大路南五丁目2-48,飲食店,0742-93-9070,https://pizzeria-icaro.jp
tokijiku kitchen  平城京,〒630-8012 奈良県奈良市二条大路南4-6-1平城宮跡歴史公園  天平うまし館,飲食店,0742-93-9015,https://www.suzakumon-heijokyo.com/facility04/
IRACA COFFEE,〒630-8012 奈良県奈良市二条大路南4-6-1平城宮跡歴史公園  天平うまし館,飲食店,0742-93-9014,https://www.suzakumon-heijokyo.com/facility04/
花惣奈良本店,〒630-8012 奈良県奈良市二条大路南４－２－１,飲食店,0742-36-8730,http://www.hanasou.jp/
コメダ珈琲店奈良二条大路店,〒630-8012 奈良県奈良市二条大路南４－２－１,飲食店,0742-93-8740,https://www.komeda.co.jp/search/shopdetail.php?id=371
ウェザーレポートバイピープル,〒630-8012 奈良県奈良市二条大路南１－２－２８,飲食店,0742-34-3123,-
お好み焼・鉄板焼  きん太  奈良二条大路店,〒630-8012 奈良県奈良市二条大路南4丁目1-6,飲食店,0742-30-6088,-
割烹  東吉,〒630-8013 奈良県奈良市三条大路1丁目10-33,飲食店,0742-35-0555,https://www.toukichi.com/
板前焼肉心,〒630-8013 奈良県奈良市三条大路2-2-22,飲食店,0742-36-7788,http://itamae-yakiniku.com/_kokoro/
京中華  飛天散華,〒630-8013 奈良県奈良市三条大路１丁目１－４７,飲食店,0742-33-0222,http://www.hiten-co.jp
小料理  奈良,〒630-8013 奈良県奈良市三条大路1丁目10-11タカハシビル,飲食店,0742-35-8111,-
シルクロードダイニング,〒630-8013 奈良県奈良市三条大路１丁目１－１,飲食店,0742-36-6000,-
日本料理「校倉」,〒630-8013 奈良県奈良市三条大路１丁目１－１,飲食店,0742-36-6000,-
フライングスタッグ,〒630-8013 奈良県奈良市三条大路１丁目１－１,飲食店,0742-36-6000,-
石焼ステーキペガサス,〒630-8013 奈良県奈良市三条大路1-1-88,飲食店,0742-34-0454,-
ホテルアジール・奈良アネックス,〒630-8014 奈良県奈良市四条大路1-4-45  ホテルアジール・奈良アネックス１F,旅館・ホテル,0742-32-2577,https://worldheritage.co.jp/annex/
餃子の王将奈良都跡店,〒630-8014 奈良県奈良市四条大路5-1-53,飲食店,0742-36-2077,-
ココス都跡店,〒630-8014 奈良県奈良市四条大路５－１－４９,飲食店,0742-30-2465,https://www.f-star.co.jp/
奈良四条大路食堂,〒630-8014 奈良県奈良市四条大路2-815-1,飲食店,0742-30-5672,http://www.fujiofood.com/
モスバーガー奈良三条通り店,〒630-8014 奈良県奈良市四条大路2-4-36,飲食店,0742-32-0117,-
博多長浜らーめん夢街道  四条大路店,〒630-8014 奈良県奈良市四条大路2-1-53,飲食店,0742-37-3053,https://yumekaidou.com/
かつや奈良尼辻店,〒630-8021 奈良県奈良市尼辻町乙４３１－３,飲食店,0742-36-9009,http://www.hatsukame.co.jp/
餃子の王将奈良柏木店,〒630-8031 奈良県奈良市柏木町463-3,飲食店,0742-33-8217,-
大起水産回転寿司奈良店,〒630-8031 奈良県奈良市柏木町527-5,飲食店,0742-32-1002,-
街のみなと食堂奈良店,〒630-8031 奈良県奈良市柏木町527-5,飲食店,0742-32-2525,-
天下一品  柏木店,〒630-8031 奈良県奈良市柏木町421-1柏木ビル1F,飲食店,0742-36-7118,https://www.tenkaippin.co.jp/shop/detail.php?id=243
かっぱ寿司  奈良柏木店,〒630-8031 奈良県奈良市柏木町413-1,飲食店,0742-30-6013,https://www.kappasushi.jp
ステーキガスト 奈良柏木,〒630-8031 奈良県奈良市柏木町４５９,飲食店,0742-30-2423,-
しゃぶ葉 奈良柏木,〒630-8031 奈良県奈良市柏木町４５９,飲食店,0742-32-0566,-
どうとんぼり神座  柏木店,〒630-8031 奈良県奈良市柏木町459,飲食店,0742-30-0880,http://kamukura.co.jp
大納言,〒630-8032 奈良県奈良市五条町9-44,飲食店,0742-33-3387,http://www.sanrakudo.co.jp
伝五郎西ノ京店,〒630-8042 奈良県奈良市西ノ京町１３７－１,飲食店,0742-30-3801,https://www.f-star.co.jp/
西ノ京食堂,〒630-8042 奈良県奈良市西ノ京町146-1,飲食店,0742-30-6562,http://www.fujiofood.com/
和膳・ティーラウンジ寿康,〒630-8051 奈良県奈良市七条町95-1,飲食店,0742-35-1265,-
MENYA BIBIRI,〒630-8051 奈良県奈良市七条町165-1,飲食店,0742-31-3440,http://menya-bibiri.net/
すき家  奈良七条店,〒630-8051 奈良県奈良市七条町164-1,飲食店,0120-498-007,-
柿の葉ずし総本家平宗 倭膳たまゆら,〒630-8052 奈良県奈良市七条東町4-25,飲食店,0742-35-2300,http://www.hiraso.jp/store/
奈良医療センターレストランビアンモール,〒630-8053 奈良県奈良市七条2-789,飲食店,0742-46-0316,-
お好み焼きMOROJUKU,〒630-8104 奈良県奈良市奈良阪町1133-1豊光第三ビル103号,飲食店,0742-42-6256,-
アルカイック森の工房,〒630-8107 奈良県奈良市奈保町21-2,飲食店,0742-20-6005,https://www.archaique.co/
日本料理  花鹿,〒630-8107 奈良県奈良市奈保町2-12,飲食店,0742-22-0505,http://kazika.jp
ココス奈良鴻ノ池店,〒630-8108 奈良県奈良市法蓮佐保山３－２－１４,飲食店,0742-20-2180,https://www.f-star.co.jp/
イタリア料理  イル・ベーネ,〒630-8108 奈良県奈良市法蓮佐保山3丁目2-16,飲食料品店,0742-27-8880,-
オランダ屋奈良店,〒630-8108 奈良県奈良市法蓮佐保山3-1-23,飲食店,0742-31-3741,https://www.fujieda-coffee.co.jp/cafe-nara.html
ゆるり,〒630-8112 奈良県奈良市三条本町1番1号ビエラ奈良1F,飲食店,0742-21-8818,http://kk-harrier.com/
来来亭  奈良女子大前店,〒630-8113 奈良県奈良市法蓮町1082-5,飲食店,0742-26-5899,-
うどん職人  和製麺所,〒630-8113 奈良県奈良市法蓮町６３２－２一條館1階,飲食店,0742-81-4991,https://www.nagomi-seimenzyo.com/
公立学校共済組合奈良宿泊所ホテルリガーレ春日野,〒630-8113 奈良県奈良市法蓮町757-2,旅館・ホテル,0742-22-6021,https://ligare-kasugano.jp
くるみの木,〒630-8113 奈良県奈良市法蓮町567-1,飲食店,0742-23-8286,https://www.kuruminoki.co.jp/ichijyo/cafe/
梅乃家,〒630-8113 奈良県奈良市法蓮町1293,飲食店,0742-23-7005,-
アンソレイユ    ,〒630-8113 奈良県奈良市法蓮町１６６－１シャトレー井田1F-A,飲食店,0742-35-6464,-
すし処魚正,〒630-8114 奈良県奈良市芝辻町2丁目11-51,飲食店,0742-93-4761,-
和  やまむら,〒630-8114 奈良県奈良市芝辻町2丁目11-15-105,飲食店,0742-33-0102,-
特選和牛  霜月,〒630-8114 奈良県奈良市芝辻町４－５－２新大宮グリンビル1階,飲食店,0742-36-0029,http://www.tokusen-wagyu.net/
鉄板離宮  アシュランステーキ,〒630-8114 奈良県奈良市芝辻町4丁目2-10ニューコーポラス新大宮102,飲食店,080-38195151,https://assurance-steak.com/
和食さと  新大宮店,〒630-8114 奈良県奈良市芝辻町3-9-17,飲食店,0742-36-1080,-
新大宮りきいち,〒630-8114 奈良県奈良市芝辻町4-6-10,飲食店,0742-33-9410,http://sugino-oden.com
河内鴨と旬菜  雅庵,〒630-8114 奈良県奈良市芝辻町507-1第２中村ビル102,飲食店,0742-34-3339,-
La Pause,〒630-8114 奈良県奈良市芝辻町2丁目11－6ホテル・葉風泰夢１F,飲食店,0742-33-8728,http://www.nara-halftime.com/lapause/
カフェ  ラ・ポーズ 新大宮店,〒630-8114 奈良県奈良市芝辻町2丁目11－62,飲食店,0742-30-3450,http://www.la-pause.jp/lapause_nara/index.html
桃谷樓 ヘルシーガーデン,〒630-8114 奈良県奈良市芝辻町2丁目11－6ホテル・葉風泰夢１F,飲食店,0742-35-2022,http://www.tokokuro.jp/shop/healthy/index.html
居酒屋どっこいしょ,〒630-8114 奈良県奈良市芝辻町4-1-9石橋興産第１ビル１F,飲食店,0742-35-8123,http://www.dokkoisho.net
もつ粋  新大宮本店,〒630-8114 奈良県奈良市芝辻町4-5-6,飲食店,0742-36-7757,-
工場跡事務室,〒630-8114 奈良県奈良市芝辻町５４３番地,飲食店,0742-22-2215,https://www.kojoato.jo
家庭料理お家,〒630-8115 奈良県奈良市大宮町4丁目310-1,飲食店,0742-35-4818,https://kateiryouri-ouchi.owst.jp
焼肉工房もく  新大宮店,〒630-8115 奈良県奈良市大宮町5-44第3宝ハイツ1FB,飲食店,0742-35-5529,https://www.yakinikumoku.com/
ピッツェリア  ルナノーヴァ,〒630-8115 奈良県奈良市大宮町2-1-35,飲食店,0742-33-6679,https://instagram.com/pizzerialunanuova?igshid=1hl9npgwtwqyw
天下一品  新大宮店,〒630-8115 奈良県奈良市大宮町5丁目278-1,飲食店,0742-34-8270,-
や台ずし  新大宮駅前町,〒630-8115 奈良県奈良市大宮町6－2－14,飲食店,0742-30-3588,http://yossix.co.jp/
かごの屋  奈良新大宮店,〒630-8115 奈良県奈良市大宮町6-3-6,飲食店,0742-32-4180,https://kagonoya.food-kr.com/shop/
物集女,〒630-8115 奈良県奈良市大宮町6-6-11,飲食店,0742-36-5566,-
オステリア  ヒロ,〒630-8115 奈良県奈良市大宮町6-5-12アルファスクエアビル,飲食店,0742-36-3567,-
Buono Buono,〒630-8115 奈良県奈良市大宮町5丁目3-4-3,飲食店,0742-30-1122,-
活ふぐ料理  ふくふく,〒630-8115 奈良県奈良市大宮町6-2-15ミールビル4F,飲食店,0742-32-2929,http://kk-harrier.com/
釜めし志津香  大宮店,〒630-8115 奈良県奈良市大宮町4丁目249-4,飲食店,0742-93-8029,https://kamameshi-shizuka.jp/
新大宮すぎ乃,〒630-8115 奈良県奈良市大宮町6-5-14,飲食店,0742-36-4101,http://sugino-oden.com
ほっこり亭,〒630-8115 奈良県奈良市大宮町6丁目9-6axe大宮102,飲食店,0742-35-6166,-
枯淡,〒630-8115 奈良県奈良市大宮町6-2-17千曲ビル 一階,飲食店,0742-33-8817,-
昭和酒場大西,〒630-8115 奈良県奈良市大宮町6-9-6 axe大宮,飲食店,0742-34-0644,-
すし居酒屋  新大宮店,〒630-8115 奈良県奈良市大宮町6-1-9啓林堂ビル,飲食店,0742-30-6501,-
琥俊,〒630-8115 奈良県奈良市大宮町5丁目3-20サンライズ第2ビル101号,飲食店,0742-32-2788,-
大宮飯店,〒630-8115 奈良県奈良市大宮町6丁目6-1アルファーコートビル,飲食店,0742-34-0212,https://sp.demae-can.com/
北新地はらみ  新大宮店,〒630-8115 奈良県奈良市大宮町6-6-1アルファコート１F,飲食店,0742-93-4700,-
カレーハウスCoCo壱番屋近鉄新大宮駅前店,〒630-8115 奈良県奈良市大宮町3丁目5-35,飲食店,0742-30-0575,-
月tokkury,〒630-8115 奈良県奈良市大宮町4丁目286-1-103ハイツ大宮通り,飲食店,0742-81-9254,-
とり福,〒630-8115 奈良県奈良市大宮町4-313-4,飲食店,090-9040-9064,-
インド料理ＪＡＹ  奈良店,〒630-8115 奈良県奈良市大宮町７－２－２３三和佐保川ビル１０１,飲食店,0742-36-2235,-
はじめ,〒630-8115 奈良県奈良市大宮町2-4-8,飲食店,0742-31-5354,http://www.yakinikudon-hajime.com/
しゃぶしゃぶ鹿子,〒630-8115 奈良県奈良市大宮町5丁目3-20アクシスビル1F,飲食店,0742-35-6006,-
喫茶アーガイル,〒630-8115 奈良県奈良市大宮町2-3東急ドエル奈良パークビレッジ9-103号,飲食店,0742-34-8995,-
ラーメン  楓,〒630-8115 奈良県奈良市大宮町6-9-1新大宮ビル1F105,飲食店,0742-36-3111,-
大衆酒場 鮨べろ 新大宮店,〒630-8115 奈良県奈良県奈良市大宮町6-9-4ウインズビルII 2F,飲食店,0742-33-3987,-
鳥貴族 新大宮店,〒630-8115 奈良県奈良市大宮町6-2-15-2F,飲食店,0742-30-2004,-
takolabo,〒630-8115 奈良県奈良市大宮町２−２−2武田三条店舗,飲食店,0742-93-5351,-
ロッソ,〒630-8115 奈良県奈良市大宮町7-2-12,飲食店,090-5465-6551,https://www.facebook.com/rosso.oomiya
一条本店,〒630-8115 奈良県奈良市大宮町6-3-26,飲食店,0742-34-6226,-
一条  新大宮駅前店,〒630-8115 奈良県奈良市大宮町6-1-2,飲食店,0742-34-8803,-
地鶏やきとり  おしどり。新大宮店,〒630-8115 奈良県奈良市大宮町6-7-1カイモトビル105,飲食店,0742-32-3388,-
オオミヤバル,〒630-8115 奈良県奈良市大宮町6-9-8岡田ビル101,飲食店,0742-32-2911,-
くいもの屋わんJR奈良駅前店,〒630-8115 奈良県奈良市大宮町１丁目１－１０梢ビル２・３F,飲食店,0742-20-3666,https://wan-naraekimae.owst.jp
くいもの屋わん新大宮店,〒630-8115 奈良県奈良市大宮町6丁目２－１５ミールBLD,飲食店,0742-30-2366,https://wan-shinoomiya.owst.jp
ONE CAFE！,〒630-8121 奈良県奈良市三条宮前町7-1なら100年会館  ONE UNITED LAB内,飲食店,0742-32-1011,https://one-unitedlab.jp/
銀河食堂,〒630-8121 奈良県奈良市三条宮前町2番31号,飲食店,0742-31-2982,http://ginga.tribute-mj.net
ホルモン大魔王,〒630-8121 奈良県奈良市三条宮前町2-30杉本宮前ビル,飲食店,050-7100-4849,-
ごはんや歩味,〒630-8121 奈良県奈良市三条宮前町２番１－２号,飲食店,0742-34-7878,http://www.pls-k.co.jp
sudachi,〒630-8121 奈良県奈良市三条宮前町2-30宮前ビル1Ｆ,飲食店,0742-42-9540,-
奈良のうまいものプラザ,〒630-8122 奈良県奈良県奈良市三条本町1-1ビエラ奈良1階,飲食店,0742-26-0088,http://www.narano-umaimonoplaza.com/
鉄板焼山河,〒630-8122 奈良県奈良市三条本町11番20号,飲食店,0742-30-2200,https://piazzahotel.co.jp/sanga.html
レストランLa Festa,〒630-8122 奈良県奈良市三条本町11番20号,飲食店,0742-30-2200,https://piazzahotel.co.jp/lafesta.html
Cent LIVE,〒630-8122 奈良県奈良市三条本町11番20号,飲食店,0742-30-2200,https://cento-live.com/
海鮮料理  つじ平,〒630-8122 奈良県奈良市三条本町4-32中室ビル1F,飲食店,0742-23-2222,https://tabelog.com/nara/A2901/A290101/29010051/
あす香,〒630-8122 奈良県奈良市三条本町1098ダイワロイヤルホテルD-PREMIUM奈良1F,飲食店,0742-93-3729,https://asuka-nara.jp/
三条坊,〒630-8122 奈良県奈良市三条本町1-1,飲食店,0742-23-1154,-
Cafeterrace kikinomori,〒630-8122 奈良県奈良市三条本町5－9,飲食店,0742-20-0120,https://cafeterrace.kikino-mori.com/
天極堂JR奈良駅店,〒630-8122 奈良県奈良市三条本町1,飲食店,0742-20-6300,-
ホテル日航奈良レストラン「セリーナ」,〒630-8122 奈良県奈良市三条本町8-1,旅館・ホテル,0742-35-6621,https://www.nikkonara.jp/
ホテル日航奈良和処「よしの」,〒630-8122 奈良県奈良市三条本町8-1,旅館・ホテル,0742-35-5819,https://www.nikkonara.jp/
ホテル日航奈良鉄板焼「銀杏」,〒630-8122 奈良県奈良市三条本町8-1,旅館・ホテル,0742-35-5819,https://www.nikkonara.jp/
ホテル日航奈良ロビーラウンジ「ファウンテン」,〒630-8122 奈良県奈良市三条本町8-1,旅館・ホテル,0742-35-6621,https://www.nikkonara.jp/
モスバーガーJR奈良店,〒630-8122 奈良県奈良市三条本町1-1ビエラ奈良1階,飲食店,0742-20-5501,https://www.mos.jp/shop/detail/04837/
やよい軒奈良駅店,〒630-8122 奈良県奈良市三条本町1-1ビエラ奈良,飲食店,0742-25-5733,-
COO.DINING,〒630-8122 奈良県奈良市三条本町7-111-4第二共栄ビル1階  北東,飲食店,0742-23-8599,-
家庭料理酒場oneroom,〒630-8122 奈良県奈良市三条本町7-111-4第二共栄ビル1F,飲食店,080-8341-3984,-
さん天  奈良三条店,〒630-8124 奈良県奈良市三条桧町17-15,飲食店,0742-81-9933,-
得得  三条添川店,〒630-8127 奈良県奈良市三条添川町5-28,飲食店,0742-35-3577,-
鍋処  ふく平,〒630-8127 奈良県奈良市三条添川町4-37,飲食店,0742-30-1129,-
炭焼やきとり一番三条添川店,〒630-8127 奈良県奈良市三条添川町３６－１－２,飲食店,0742-33-1194,-
御魚処さくら茶屋,〒630-8131 奈良県奈良市大森町43-2ホワイトパレス,飲食店,0742-26-5589,-
ガスト 奈良大安寺,〒630-8134 奈良県奈良市大安寺町字出袋狐塚５５２－２,飲食店,0742-30-2135,-
極楽湯  奈良店,〒630-8134 奈良県奈良市大安寺町510,その他サービス業,0742-32-1126,-
桜座珈琲,〒630-8136 奈良県奈良市恋の窪２-１-８徳丸ビル103,飲食店,0742-34-0087,https://ouzacoffee.com/
ミスタードーナツイオン大安寺店,〒630-8141 奈良県奈良市南京終町1-128-1,飲食店,0742-50-2240,-
ハテノミドリ,〒630-8141 奈良県奈良市南京終町２１１JR京終駅内,飲食店,070-1849-1033,http://kyobate.org/
洋風手料理  明倫館,〒630-8141 奈良県奈良市南京終町1丁目32番地の4,飲食店,0742-61-5577,-
麺屋  NOROMA,〒630-8141 奈良県奈良市南京終町3-1531,飲食店,0742-63-5338,http://noroma.net/
やよい軒奈良大安寺店,〒630-8141 奈良県奈良市南京終町3-1531-1,飲食店,0742-50-5055,-
餃子の王将奈良東九条店,〒630-8144 奈良県奈良市東九条町1496,飲食店,0742-64-1522,-
